"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 05 12:37:01 CEST 2025","Thu Jun 05 12:37:07 CEST 2025","5932","","test_ganancias","","","","test_potencia[7-120]",""
"passed","Thu Jun 05 12:40:24 CEST 2025","Thu Jun 05 12:40:29 CEST 2025","5815","","test_ganancias","","","","test_potencia[8-160]",""
"failed","Thu Jun 05 12:27:48 CEST 2025","Thu Jun 05 12:27:54 CEST 2025","5873","","test_ganancias","","","","test_potencia[3-340]",""
"passed","Thu Jun 05 12:34:33 CEST 2025","Thu Jun 05 12:34:39 CEST 2025","5830","","test_ganancias","","","","test_potencia[6-160]",""
"passed","Thu Jun 05 12:28:42 CEST 2025","Thu Jun 05 12:28:48 CEST 2025","6024","","test_ganancias","","","","test_potencia[4-160]",""
"passed","Thu Jun 05 12:32:32 CEST 2025","Thu Jun 05 12:32:37 CEST 2025","5940","","test_ganancias","","","","test_potencia[5-240]",""
"passed","Thu Jun 05 12:28:01 CEST 2025","Thu Jun 05 12:28:07 CEST 2025","5963","","test_ganancias","","","","test_potencia[4-100]",""
"passed","Thu Jun 05 12:23:59 CEST 2025","Thu Jun 05 12:24:05 CEST 2025","5847","","test_ganancias","","","","test_potencia[2-260]",""
"passed","Thu Jun 05 12:24:26 CEST 2025","Thu Jun 05 12:24:31 CEST 2025","5852","","test_ganancias","","","","test_potencia[2-300]",""
"failed","Thu Jun 05 12:33:39 CEST 2025","Thu Jun 05 12:33:45 CEST 2025","5871","","test_ganancias","","","","test_potencia[5-340]",""
"passed","Thu Jun 05 12:23:19 CEST 2025","Thu Jun 05 12:23:24 CEST 2025","5860","","test_ganancias","","","","test_potencia[2-200]",""
"passed","Thu Jun 05 12:27:34 CEST 2025","Thu Jun 05 12:27:40 CEST 2025","5856","","test_ganancias","","","","test_potencia[3-320]",""
"passed","Thu Jun 05 12:32:18 CEST 2025","Thu Jun 05 12:32:24 CEST 2025","5847","","test_ganancias","","","","test_potencia[5-220]",""
"failed","Thu Jun 05 12:42:25 CEST 2025","Thu Jun 05 12:42:30 CEST 2025","5353","","test_ganancias","","","","test_potencia[8-340]",""
"passed","Thu Jun 05 12:33:12 CEST 2025","Thu Jun 05 12:33:18 CEST 2025","5943","","test_ganancias","","","","test_potencia[5-300]",""
"passed","Thu Jun 05 12:40:37 CEST 2025","Thu Jun 05 12:40:43 CEST 2025","5850","","test_ganancias","","","","test_potencia[8-180]",""
"passed","Thu Jun 05 12:40:50 CEST 2025","Thu Jun 05 12:40:56 CEST 2025","5924","","test_ganancias","","","","test_potencia[8-200]",""
"passed","Thu Jun 05 12:36:20 CEST 2025","Thu Jun 05 12:36:26 CEST 2025","5370","","test_ganancias","","","","test_potencia[6-320]",""
"passed","Thu Jun 05 12:27:21 CEST 2025","Thu Jun 05 12:27:27 CEST 2025","5859","","test_ganancias","","","","test_potencia[3-300]",""
"passed","Thu Jun 05 12:37:28 CEST 2025","Thu Jun 05 12:37:34 CEST 2025","6056","","test_ganancias","","","","test_potencia[7-160]",""
"passed","Thu Jun 05 12:25:33 CEST 2025","Thu Jun 05 12:25:39 CEST 2025","5948","","test_ganancias","","","","test_potencia[3-140]",""
"passed","Thu Jun 05 12:41:04 CEST 2025","Thu Jun 05 12:41:10 CEST 2025","5836","","test_ganancias","","","","test_potencia[8-220]",""
"passed","Thu Jun 05 12:35:53 CEST 2025","Thu Jun 05 12:35:59 CEST 2025","5846","","test_ganancias","","","","test_potencia[6-280]",""
"passed","Thu Jun 05 12:41:44 CEST 2025","Thu Jun 05 12:41:50 CEST 2025","5836","","test_ganancias","","","","test_potencia[8-280]",""
"passed","Thu Jun 05 12:22:51 CEST 2025","Thu Jun 05 12:22:57 CEST 2025","5881","","test_ganancias","","","","test_potencia[2-160]",""
"passed","Thu Jun 05 12:35:40 CEST 2025","Thu Jun 05 12:35:46 CEST 2025","6001","","test_ganancias","","","","test_potencia[6-260]",""
"passed","Thu Jun 05 12:25:20 CEST 2025","Thu Jun 05 12:25:26 CEST 2025","5852","","test_ganancias","","","","test_potencia[3-120]",""
"passed","Thu Jun 05 12:20:36 CEST 2025","Thu Jun 05 12:20:41 CEST 2025","5840","","test_ganancias","","","","test_potencia[1-220]",""
"passed","Thu Jun 05 12:31:24 CEST 2025","Thu Jun 05 12:31:30 CEST 2025","5866","","test_ganancias","","","","test_potencia[5-140]",""
"passed","Thu Jun 05 12:32:45 CEST 2025","Thu Jun 05 12:32:51 CEST 2025","5860","","test_ganancias","","","","test_potencia[5-260]",""
"failed","Thu Jun 05 12:24:53 CEST 2025","Thu Jun 05 12:24:58 CEST 2025","5951","","test_ganancias","","","","test_potencia[2-340]",""
"passed","Thu Jun 05 12:34:06 CEST 2025","Thu Jun 05 12:34:12 CEST 2025","5853","","test_ganancias","","","","test_potencia[6-120]",""
"passed","Thu Jun 05 12:24:39 CEST 2025","Thu Jun 05 12:24:45 CEST 2025","5346","","test_ganancias","","","","test_potencia[2-320]",""
"passed","Thu Jun 05 12:26:00 CEST 2025","Thu Jun 05 12:26:06 CEST 2025","5870","","test_ganancias","","","","test_potencia[3-180]",""
"passed","Thu Jun 05 12:33:52 CEST 2025","Thu Jun 05 12:33:58 CEST 2025","5854","","test_ganancias","","","","test_potencia[6-100]",""
"passed","Thu Jun 05 12:19:28 CEST 2025","Thu Jun 05 12:19:34 CEST 2025","5852","","test_ganancias","","","","test_potencia[1-120]",""
"passed","Thu Jun 05 12:28:15 CEST 2025","Thu Jun 05 12:28:20 CEST 2025","5833","","test_ganancias","","","","test_potencia[4-120]",""
"passed","Thu Jun 05 12:22:38 CEST 2025","Thu Jun 05 12:22:44 CEST 2025","5858","","test_ganancias","","","","test_potencia[2-140]",""
"passed","Thu Jun 05 12:30:30 CEST 2025","Thu Jun 05 12:30:36 CEST 2025","5856","","test_ganancias","","","","test_potencia[4-320]",""
"passed","Thu Jun 05 12:21:03 CEST 2025","Thu Jun 05 12:21:09 CEST 2025","5964","","test_ganancias","","","","test_potencia[1-260]",""
"passed","Thu Jun 05 12:38:50 CEST 2025","Thu Jun 05 12:38:56 CEST 2025","5946","","test_ganancias","","","","test_potencia[7-280]",""
"passed","Thu Jun 05 12:37:56 CEST 2025","Thu Jun 05 12:38:02 CEST 2025","5851","","test_ganancias","","","","test_potencia[7-200]",""
"passed","Thu Jun 05 12:23:45 CEST 2025","Thu Jun 05 12:23:51 CEST 2025","5857","","test_ganancias","","","","test_potencia[2-240]",""
"passed","Thu Jun 05 12:19:42 CEST 2025","Thu Jun 05 12:19:48 CEST 2025","5940","","test_ganancias","","","","test_potencia[1-140]",""
"failed","Thu Jun 05 12:30:44 CEST 2025","Thu Jun 05 12:30:50 CEST 2025","5986","","test_ganancias","","","","test_potencia[4-340]",""
"passed","Thu Jun 05 12:25:47 CEST 2025","Thu Jun 05 12:25:52 CEST 2025","5894","","test_ganancias","","","","test_potencia[3-160]",""
"passed","Thu Jun 05 12:39:57 CEST 2025","Thu Jun 05 12:40:03 CEST 2025","5845","","test_ganancias","","","","test_potencia[8-120]",""
"passed","Thu Jun 05 12:32:58 CEST 2025","Thu Jun 05 12:33:04 CEST 2025","5869","","test_ganancias","","","","test_potencia[5-280]",""
"passed","Thu Jun 05 12:30:03 CEST 2025","Thu Jun 05 12:30:09 CEST 2025","5966","","test_ganancias","","","","test_potencia[4-280]",""
"passed","Thu Jun 05 12:20:49 CEST 2025","Thu Jun 05 12:20:55 CEST 2025","5846","","test_ganancias","","","","test_potencia[1-240]",""
"passed","Thu Jun 05 12:34:19 CEST 2025","Thu Jun 05 12:34:25 CEST 2025","5953","","test_ganancias","","","","test_potencia[6-140]",""
"passed","Thu Jun 05 12:37:14 CEST 2025","Thu Jun 05 12:37:20 CEST 2025","5888","","test_ganancias","","","","test_potencia[7-140]",""
"passed","Thu Jun 05 12:36:07 CEST 2025","Thu Jun 05 12:36:13 CEST 2025","5831","","test_ganancias","","","","test_potencia[6-300]",""
